CustomerID,Lookalikes
C0103,"[('C0108', 0.7496015109948676), ('C0077', 0.6520152410571503), ('C0033', 0.6009364517969821)]"
C0104,"[('C0059', 0.8415855496005051), ('C0124', 0.749292859222383), ('C0156', 0.6967126839881151)]"
C0105,"[('C0190', 0.8064877579122548), ('C0096', 0.7963413556668453), ('C0183', 0.7609664250006568)]"
C0106,"[('C0166', 0.834255618950656), ('C0170', 0.7844081269892036), ('C0033', 0.6836789581967437)]"
C0107,"[('C0088', 0.7766870104536164), ('C0029', 0.7063032060577306), ('C0092', 0.6858266547181486)]"
C0108,"[('C0103', 0.7496015109948676), ('C0143', 0.6625136748563675), ('C0109', 0.6447619699118243)]"
C0109,"[('C0175', 0.7832038076827782), ('C0147', 0.7651209953674232), ('C0093', 0.7281075046444461)]"
C0110,"[('C0097', 0.9997547249448541), ('C0060', 0.9990482068291929), ('C0052', 0.9081405328540789)]"
C0111,"[('C0198', 0.7227580559982227), ('C0178', 0.7166297028971559), ('C0176', 0.6457257555863646)]"
C0112,"[('C0085', 0.8432465674366154), ('C0186', 0.769858872679609), ('C0095', 0.7152805725121505)]"
C0113,"[('C0162', 0.862625864749655), ('C0188', 0.6478456785367166), ('C0090', 0.6274284570332282)]"
C0114,"[('C0001', 0.8453481833544942), ('C0148', 0.7971952138658622), ('C0018', 0.7292596223801336)]"
C0115,"[('C0020', 0.913093314065156), ('C0044', 0.7773074724122171), ('C0039', 0.7758319024050985)]"
C0116,"[('C0147', 0.7967518371847515), ('C0012', 0.7880582312595049), ('C0194', 0.6291639969557822)]"
C0117,"[('C0027', 0.8354642185140767), ('C0074', 0.8034202294656789), ('C0044', 0.7850282164355484)]"
C0118,"[('C0004', 0.7873773940557695), ('C0021', 0.6755604417547183), ('C0173', 0.6619120318101919)]"
C0119,"[('C0115', 0.769462413049012), ('C0020', 0.7315726491495826), ('C0080', 0.7056813901935147)]"
C0120,"[('C0096', 0.7505779218561748), ('C0007', 0.7315636461330288), ('C0035', 0.7265421733283993)]"
C0121,"[('C0015', 0.6712507837169523), ('C0063', 0.6361249259981467), ('C0070', 0.6345273784123995)]"
C0122,"[('C0173', 0.8401552721303714), ('C0141', 0.7771620706537846), ('C0188', 0.7635239800833361)]"
C0123,"[('C0025', 0.7633631540684892), ('C0078', 0.7115979193106647), ('C0036', 0.7092399552488837)]"
C0124,"[('C0024', 0.7998427146153013), ('C0104', 0.749292859222383), ('C0143', 0.7411596815818465)]"
C0125,"[('C0168', 0.8233357078618007), ('C0157', 0.7726004913310551), ('C0070', 0.728680784621693)]"
C0126,"[('C0019', 0.8580636838130609), ('C0171', 0.8471463081174212), ('C0041', 0.7038856606327126)]"
C0127,"[('C0162', 0.6906366488139664), ('C0045', 0.6698344439536648), ('C0054', 0.6439789595060216)]"
C0128,"[('C0014', 0.8416617165812075), ('C0151', 0.8415842153386226), ('C0076', 0.8350603730789485)]"
C0129,"[('C0091', 0.6466888839812074), ('C0182', 0.643576497212966), ('C0072', 0.633420790989328)]"
C0130,"[('C0069', 0.8654245724457059), ('C0157', 0.7929301921897284), ('C0186', 0.7410309312976704)]"
C0131,"[('C0073', 0.711601079420999), ('C0137', 0.6996697180413367), ('C0064', 0.6624374042198409)]"
C0132,"[('C0078', 0.8978105542139427), ('C0193', 0.854397071308071), ('C0174', 0.7597171045422165)]"
C0133,"[('C0030', 0.8251692910470149), ('C0134', 0.7693182169318225), ('C0150', 0.7339817162316108)]"
C0134,"[('C0133', 0.7693182169318225), ('C0150', 0.7248770691015287), ('C0053', 0.6447547329046664)]"
C0135,"[('C0015', 0.6570930417470778), ('C0187', 0.6511066920066378), ('C0011', 0.6395072111984211)]"
C0136,"[('C0172', 0.7020163058895426), ('C0037', 0.6663185770656789), ('C0137', 0.6497741341565769)]"
C0137,"[('C0131', 0.6996697180413367), ('C0071', 0.6761090617990378), ('C0070', 0.6738601926228919)]"
C0138,"[('C0196', 0.9136253699215884), ('C0152', 0.7784633461408783), ('C0076', 0.7369750871082175)]"
C0139,"[('C0004', 0.7593611378208578), ('C0041', 0.759010042707136), ('C0021', 0.7156314292012222)]"
C0140,"[('C0060', 0.6895484738112219), ('C0097', 0.6873681615432499), ('C0110', 0.6847883359894549)]"
C0141,"[('C0145', 0.8617184794137313), ('C0188', 0.8607992265842566), ('C0173', 0.830552011671857)]"
C0142,"[('C0063', 0.9565032619148593), ('C0029', 0.7383969170630208), ('C0071', 0.715713950368303)]"
C0143,"[('C0124', 0.7411596815818465), ('C0104', 0.6913287223234574), ('C0156', 0.6811673136846247)]"
C0144,"[('C0158', 0.7617756373467122), ('C0089', 0.7540759282465135), ('C0062', 0.6760733744312536)]"
C0145,"[('C0141', 0.8617184794137313), ('C0093', 0.8233798954835277), ('C0099', 0.7424986482460655)]"
C0146,"[('C0192', 0.7007501638300773), ('C0074', 0.6727062281839538), ('C0005', 0.6379107297420644)]"
C0147,"[('C0116', 0.7967518371847515), ('C0109', 0.7651209953674232), ('C0175', 0.7366251989276723)]"
C0148,"[('C0001', 0.8629284084221371), ('C0018', 0.7991045919362552), ('C0163', 0.7978403586793205)]"
C0149,"[('C0055', 0.7096455940083773), ('C0130', 0.6623068379866724), ('C0069', 0.6577614820421808)]"
C0150,"[('C0176', 0.8830125996191972), ('C0167', 0.7726463502260336), ('C0133', 0.7339817162316108)]"
C0151,"[('C0014', 0.999764656103971), ('C0178', 0.8438930810850355), ('C0128', 0.8415842153386226)]"
C0152,"[('C0196', 0.8073640416396604), ('C0138', 0.7784633461408783), ('C0128', 0.7576553480083674)]"
C0153,"[('C0006', 0.6227693017512155), ('C0046', 0.6166626541994146), ('C0171', 0.5637922996212775)]"
C0154,"[('C0200', 0.7453180340957558), ('C0090', 0.6639273334583828), ('C0113', 0.6138150263850748)]"
C0155,"[('C0087', 0.8942582605962839), ('C0156', 0.8066310814483711), ('C0023', 0.747432036562324)]"
C0156,"[('C0175', 0.863927914698589), ('C0155', 0.8066310814483711), ('C0028', 0.7670464299577779)]"
C0157,"[('C0130', 0.7929301921897284), ('C0069', 0.7845482619313383), ('C0014', 0.7752476813226316)]"
C0158,"[('C0089', 0.7792268219455273), ('C0095', 0.7699452012193952), ('C0181', 0.7690804541853964)]"
C0159,"[('C0076', 0.8325665384754986), ('C0128', 0.8027854475674916), ('C0151', 0.711197537751088)]"
C0160,"[('C0038', 0.8703761271069108), ('C0167', 0.7030083582477337), ('C0025', 0.695044397102696)]"
C0161,"[('C0024', 0.7351241393418545), ('C0082', 0.6790790682090126), ('C0175', 0.6743638292551933)]"
C0162,"[('C0113', 0.862625864749655), ('C0059', 0.7400284390276743), ('C0188', 0.7048013230955162)]"
C0163,"[('C0148', 0.7978403586793205), ('C0059', 0.7083424453402386), ('C0104', 0.5887135800214559)]"
C0164,"[('C0003', 0.6270781162210541), ('C0181', 0.6061577913022578), ('C0133', 0.5494628441556915)]"
C0165,"[('C0099', 0.7271071138862717), ('C0156', 0.7078922605290762), ('C0024', 0.6867659805579295)]"
C0166,"[('C0106', 0.834255618950656), ('C0128', 0.6973583057270438), ('C0195', 0.696636190916379)]"
C0167,"[('C0025', 0.8812330833550224), ('C0036', 0.7762146449498978), ('C0150', 0.7726463502260336)]"
C0168,"[('C0070', 0.8447307772201726), ('C0125', 0.8233357078618007), ('C0050', 0.8006764394518416)]"
C0169,"[('C0006', 0.7570991172916482), ('C0165', 0.6340663424755536), ('C0047', 0.6184552900233337)]"
C0170,"[('C0052', 0.7922680419533589), ('C0106', 0.7844081269892036), ('C0110', 0.6649513792259878)]"
C0171,"[('C0019', 0.8640416021530607), ('C0126', 0.8471463081174212), ('C0193', 0.7605471661196618)]"
C0172,"[('C0037', 0.7671668391698996), ('C0182', 0.7147764571973845), ('C0136', 0.7020163058895426)]"
C0173,"[('C0122', 0.8401552721303714), ('C0141', 0.830552011671857), ('C0021', 0.7703431519241315)]"
C0174,"[('C0193', 0.915350366866935), ('C0132', 0.7597171045422165), ('C0078', 0.7489100140730425)]"
C0175,"[('C0093', 0.8675198029777594), ('C0156', 0.863927914698589), ('C0141', 0.8226511564500626)]"
C0176,"[('C0150', 0.8830125996191972), ('C0132', 0.7274037383029245), ('C0167', 0.7183472844795635)]"
C0177,"[('C0011', 0.7797479003931463), ('C0071', 0.6230304460072466), ('C0015', 0.5584078764715711)]"
C0178,"[('C0014', 0.8442983203712523), ('C0151', 0.8438930810850355), ('C0128', 0.7637500882261008)]"
C0179,"[('C0086', 0.7777186171780386), ('C0079', 0.6544227478717213), ('C0136', 0.5935089005184699)]"
C0181,"[('C0158', 0.7690804541853964), ('C0085', 0.6913091250518548), ('C0051', 0.6783368082683928)]"
C0182,"[('C0172', 0.7147764571973845), ('C0037', 0.7043210361543254), ('C0067', 0.6908279259815693)]"
C0183,"[('C0013', 0.7695562223926242), ('C0009', 0.7659301859571745), ('C0105', 0.7609664250006568)]"
C0184,"[('C0102', 0.8726107521051579), ('C0016', 0.7926033138809787), ('C0188', 0.719451662093117)]"
C0185,"[('C0079', 0.7345781866485426), ('C0030', 0.6489276734671955), ('C0142', 0.6308985836485186)]"
C0186,"[('C0112', 0.769858872679609), ('C0130', 0.7410309312976704), ('C0125', 0.6761237490598652)]"
C0187,"[('C0081', 0.7017120084312017), ('C0135', 0.6511066920066378), ('C0137', 0.6018082790709657)]"
C0188,"[('C0028', 0.8797200751165574), ('C0141', 0.8607992265842566), ('C0093', 0.8006590204288621)]"
C0189,"[('C0182', 0.6168297235754139), ('C0015', 0.5571711853453681), ('C0129', 0.5439473454034413)]"
C0190,"[('C0105', 0.8064877579122548), ('C0096', 0.7426625285030614), ('C0120', 0.7188530710279426)]"
C0191,"[('C0018', 0.7614581747562421), ('C0019', 0.7357227546932529), ('C0112', 0.6934868278134727)]"
C0192,"[('C0005', 0.7016663899094098), ('C0146', 0.7007501638300773), ('C0176', 0.6504478294466283)]"
C0193,"[('C0174', 0.915350366866935), ('C0132', 0.854397071308071), ('C0078', 0.8079879039248092)]"
C0194,"[('C0065', 0.7278189527554707), ('C0082', 0.6995821047214241), ('C0147', 0.6957697938612804)]"
C0195,"[('C0166', 0.696636190916379), ('C0106', 0.6792126771218214), ('C0159', 0.6669863617448054)]"
C0196,"[('C0138', 0.9136253699215884), ('C0152', 0.8073640416396604), ('C0003', 0.7924437759156922)]"
C0197,"[('C0026', 0.8188518879774508), ('C0095', 0.7447280094734712), ('C0091', 0.6822948239803204)]"
C0198,"[('C0111', 0.7227580559982227), ('C0130', 0.7109290761576457), ('C0043', 0.6784093863156897)]"
C0199,"[('C0140', 0.6691370590240654), ('C0197', 0.6164139491112633), ('C0069', 0.6078806029193595)]"
C0200,"[('C0033', 0.776617803327948), ('C0154', 0.7453180340957558), ('C0183', 0.6178895366082715)]"
